labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min
mul_bal_001	mul	38.2514381408691	37.4577394573168	36.7478942871094	38.3381958007812	37.5388647856188	36.64306640625	38.247730255127	37.5339253918878	36.8253631591797	38.247730255127	37.5299045869674	36.8016624450684	28.8663082122803	19.2957554548636	13.0614423751831	27.2814712524414	18.9004964302326	13.2844486236572	0.155689	0.060612	0.028796	0.453321	0.247934	0.068321
mul_bal_003	mul	38.3316459655762	37.5458811288592	36.7932167053223	38.3381538391113	37.5995925839116	36.6796112060547	38.3008842468262	37.6094504783893	36.8575134277344	38.3008842468262	37.6060978768886	36.8424530029297	28.7619647979736	19.1787346944042	12.8787631988525	27.2596645355225	18.7555574417114	13.2328386306763	0.270196	0.072815	0.030324	0.444008	0.14713	0.032772
mul_bal_006	mul	38.360710144043	37.4884158057728	36.7519378662109	38.360710144043	37.5009974405683	36.6377182006836	38.3274002075195	37.5610984276081	36.8223190307617	38.3274002075195	37.5597833567652	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	27.2292289733887	18.9559972039584	13.1692495346069	0.131001	0.056215	0.02927	0.377124	0.105876	0.030726
mul_bal_010	mul	38.3953323364258	37.5077769290442	36.8069381713867	38.3953323364258	37.6093144279787	36.6960334777832	38.1680488586426	37.5670547485352	36.9029006958008	38.1680488586426	37.56641545789	36.8977165222168	28.7975234985352	19.2576367005535	12.9935445785522	27.2825584411621	18.8010033245744	13.276195526123	0.223686	0.068143	0.030335	0.346308	0.234684	0.113314
mul_bal_011	mul	38.2137260437012	37.3134883135215	36.6267623901367	38.2966957092285	37.5041892817803	36.4869804382324	38.2137260437012	37.366673015726	36.6267623901367	38.2145538330078	37.3642205073916	36.6040420532227	29.3001556396484	19.5850264176555	13.2924575805664	27.5950317382812	19.3523130482641	13.4172115325928	0.157933	0.058215	0.029279	0.414501	0.289532	0.138504
mul_bal_015	mul	38.062183380127	37.3335031750558	36.6899871826172	38.4032211303711	37.5978950282297	36.515064239502	38.0507888793945	37.3786636878704	36.6899871826172	38.0525703430176	37.3783019054895	36.6726570129395	28.9783611297607	19.5783746680994	13.2557601928711	27.49094581604	19.2297234502332	13.3873023986816	0.12419	0.053607	0.028159	0.008681	0.007989	0.007312
mul_bal_019	mul	38.1605911254883	37.4270314402964	36.8785400390625	38.1605911254883	37.4259769806917	36.8769874572754	38.1605911254883	37.4766554207637	36.9072418212891	38.1605911254883	37.4747974790376	36.9063835144043	29.4268989562988	19.481984442678	12.5860109329224	27.6594009399414	19.3868653659163	13.2094297409058	0.122479	0.054567	0.029123	0.207141	0.059326	0.02787
mul_bal_021	mul	38.1974487304688	37.3664510880394	36.6721992492676	38.1974487304688	37.3659250928068	36.615062713623	38.149715423584	37.4245452617777	36.6721992492676	38.149715423584	37.4240293305496	36.6185874938965	29.1923027038574	19.5316919951603	12.9864902496338	27.6679706573486	19.29172838803	13.1451997756958	0.147693	0.054746	0.027563	0.214	0.057063	0.027359
mul_bal_025	mul	38.0441207885742	37.3235121979111	36.7500076293945	38.5060577392578	37.7032500277991	36.5911445617676	38.0441207885742	37.3659582203832	36.7527046203613	38.0441207885742	37.3651134184037	36.7402763366699	28.9203319549561	19.585742923035	13.3358688354492	27.4459991455078	19.1979172147554	13.4436359405518	0.118734	0.053507	0.028566	0.00467	0.004571	0.004484
mul_bal_033	mul	38.1605911254883	37.4270314402964	36.8785400390625	38.1605911254883	37.4259769806917	36.8769874572754	38.1605911254883	37.4766554207637	36.9072418212891	38.1605911254883	37.4747974790376	36.9063835144043	29.4268989562988	19.481984442678	12.5860109329224	27.6594009399414	19.3868653659163	13.2094297409058	0.122646	0.054577	0.029137	0.416565	0.122053	0.031296
