INDIVIDUALS	STRATA
dip_bal_001	Sand
dip_bal_002	Sand
dip_bal_003	Sand
dip_bal_004	Sand
dip_bal_005	Sand
dip_bal_006	Sand
dip_bal_007	Sand
dip_bal_009	Sand
dip_bal_010	Sand
dip_bal_011	Sand
dip_bal_012	Sand
dip_bal_013	Sand
dip_bal_014	Sand
dip_bal_015	Sand
dip_bal_016	Sand
dip_bal_017	Sand
dip_bal_018	Sand
dip_bal_019	Sand
dip_bal_020	Sand
dip_bal_021	Sand
dip_bal_022	Sand
dip_bal_023	Sand
dip_bal_024	Sand
dip_bal_025	Sand
dip_bal_026	Coarse and mixed sediment
dip_bal_027	Coarse and mixed sediment
dip_bal_028	Coarse and mixed sediment
dip_bal_029	Coarse and mixed sediment
dip_bal_030	Coarse and mixed sediment
dip_bal_031	Coarse and mixed sediment
dip_bal_037	Posidonia oceanica meadows
dip_bal_045	Posidonia oceanica meadows
dip_bal_048	Rock or other hard substrata
dip_bal_053	Sandy mud
dip_bal_054	Sandy mud
dip_bal_056	Posidonia oceanica meadows
dip_bal_060	Posidonia oceanica meadows
dip_bal_061	Rock or other hard substrata
dip_bal_062	Rock or other hard substrata
dip_bal_063	Sandy mud
dip_bal_065	Posidonia oceanica meadows
dip_bal_067	Posidonia oceanica meadows
dip_bal_071	Posidonia oceanica meadows
dip_bal_072	Sand
dip_bal_073	Sand
dip_bal_074	Coarse and mixed sediment
dip_bal_077	Coarse and mixed sediment
dip_bal_078	Coarse and mixed sediment
dip_bal_079	Coarse and mixed sediment
dip_bal_080	Coarse and mixed sediment
dip_bal_081	Coarse and mixed sediment
dip_bal_082	Sand
dip_bal_083	Sand
dip_bal_084	Sand
dip_bal_085	Sand
dip_bal_086	Sand
dip_bal_087	Sand
dip_bal_089	Unknown
dip_bal_091	Posidonia oceanica meadows
dip_bal_094	Posidonia oceanica meadows
dip_bal_095	Sand
dip_bal_096	Sandy mud
dip_bal_097	Sandy mud
dip_bal_098	Sandy mud
dip_bal_099	Sandy mud
dip_bal_100	Sandy mud
dip_bal_101	Sandy mud
dip_bal_102	Sand
dip_bal_103	Sand
dip_bal_105	Posidonia oceanica meadows
dip_bal_107	Sand
dip_bal_108	Sand
dip_bal_109	Sand
