INDIVIDUALS	STRATA
dip_bal_001	Llevant de Mallorca
dip_bal_002	Illes Columbretes
dip_bal_003	Illes Columbretes
dip_bal_004	Illes Columbretes
dip_bal_005	Illes Columbretes
dip_bal_006	Illes Columbretes
dip_bal_007	Illes Columbretes
dip_bal_009	Illes Columbretes
dip_bal_010	Illes Columbretes
dip_bal_011	Illes Columbretes
dip_bal_012	Illes Columbretes
dip_bal_013	Illes Columbretes
dip_bal_014	Illes Columbretes
dip_bal_015	Illes Columbretes
dip_bal_016	Illes Columbretes
dip_bal_017	Illes Columbretes
dip_bal_018	Illes Columbretes
dip_bal_019	Illes Columbretes
dip_bal_020	Illes Columbretes
dip_bal_021	Illes Columbretes
dip_bal_022	Illes Columbretes
dip_bal_023	Illes Columbretes
dip_bal_024	Illes Columbretes
dip_bal_025	Illes Columbretes
dip_bal_026	Illes Columbretes
dip_bal_027	Illes Columbretes
dip_bal_028	Illes Columbretes
dip_bal_029	Illes Columbretes
dip_bal_030	Illes Columbretes
dip_bal_031	Illes Columbretes
dip_bal_037	Llevant de Mallorca
dip_bal_045	Llevant de Mallorca
dip_bal_048	Llevant de Mallorca
dip_bal_053	Llevant de Mallorca
dip_bal_054	Llevant de Mallorca
dip_bal_056	Llevant de Mallorca
dip_bal_060	Llevant de Mallorca
dip_bal_061	Llevant de Mallorca
dip_bal_062	Llevant de Mallorca
dip_bal_063	Llevant de Mallorca
dip_bal_065	Llevant de Mallorca
dip_bal_067	Llevant de Mallorca
dip_bal_071	Llevant de Mallorca
dip_bal_072	Llevant de Mallorca
dip_bal_073	Llevant de Mallorca
dip_bal_074	Llevant de Mallorca
dip_bal_077	Llevant de Mallorca
dip_bal_078	Llevant de Mallorca
dip_bal_079	Llevant de Mallorca
dip_bal_080	Llevant de Mallorca
dip_bal_081	Llevant de Mallorca
dip_bal_082	Llevant de Mallorca
dip_bal_083	Llevant de Mallorca
dip_bal_084	Llevant de Mallorca
dip_bal_085	Llevant de Mallorca
dip_bal_086	Llevant de Mallorca
dip_bal_087	Llevant de Mallorca
dip_bal_089	Llevant de Mallorca
dip_bal_091	Llevant de Mallorca
dip_bal_094	Llevant de Mallorca
dip_bal_095	Llevant de Mallorca
dip_bal_096	Llevant de Mallorca
dip_bal_097	Llevant de Mallorca
dip_bal_098	Llevant de Mallorca
dip_bal_099	Llevant de Mallorca
dip_bal_100	Llevant de Mallorca
dip_bal_101	Llevant de Mallorca
dip_bal_102	Llevant de Mallorca
dip_bal_103	Llevant de Mallorca
dip_bal_105	Llevant de Mallorca
dip_bal_107	Llevant de Mallorca
dip_bal_108	Llevant de Mallorca
dip_bal_109	Llevant de Mallorca
dip_bal_110	Llevant de Mallorca
dip_bal_111	Llevant de Mallorca
dip_bal_112	Llevant de Mallorca
dip_bal_113	Llevant de Mallorca
dip_bal_114	Llevant de Mallorca
dip_bal_115	Llevant de Mallorca
dip_bal_116	Llevant de Mallorca
dip_bal_117	Llevant de Mallorca
dip_bal_118	Llevant de Mallorca
dip_bal_119	Llevant de Mallorca
dip_bal_120	Llevant de Mallorca
dip_fra_003	Cerbere-Banyuls
dip_fra_005	Cerbere-Banyuls
dip_fra_007	Cerbere-Banyuls
dip_fra_009	Cerbere-Banyuls
dip_fra_014	Cerbere-Banyuls
dip_fra_021	Cerbere-Banyuls
dip_fra_022	Cerbere-Banyuls
dip_fra_023	Cerbere-Banyuls
dip_fra_024	Cerbere-Banyuls
dip_fra_025	Cerbere-Banyuls
dip_fra_026	Cerbere-Banyuls
dip_fra_027	Cerbere-Banyuls
dip_fra_028	Cerbere-Banyuls
dip_fra_029	Cerbere-Banyuls
dip_fra_030	Cerbere-Banyuls
dip_fra_031	Cerbere-Banyuls
dip_fra_032	Cerbere-Banyuls
dip_fra_033	Cerbere-Banyuls
dip_fra_034	Cerbere-Banyuls
dip_fra_035	Cerbere-Banyuls
dip_fra_036	Cerbere-Banyuls
dip_fra_037	Cerbere-Banyuls
dip_fra_038	Cerbere-Banyuls
dip_fra_039	Cerbere-Banyuls
dip_fra_040	Cerbere-Banyuls
dip_fra_041	Cerbere-Banyuls
dip_fra_042	Cerbere-Banyuls
dip_fra_043	Cerbere-Banyuls
dip_fra_044	Cerbere-Banyuls
dip_fra_045	Cerbere-Banyuls
dip_fra_046	Cerbere-Banyuls
dip_fra_047	Cerbere-Banyuls
dip_fra_048	Cerbere-Banyuls
dip_fra_050	Cerbere-Banyuls
dip_fra_051	Cerbere-Banyuls
dip_fra_052	Cerbere-Banyuls
dip_fra_053	Cerbere-Banyuls
dip_fra_054	Cerbere-Banyuls
dip_fra_055	Cerbere-Banyuls
dip_fra_056	Cerbere-Banyuls
dip_fra_057	Cerbere-Banyuls
dip_fra_058	Cerbere-Banyuls
dip_fra_059	Cerbere-Banyuls
dip_fra_060	Cerbere-Banyuls
