INDIVIDUALS	STRATA
mul_bal_001	Norte_De_Menorca
mul_bal_003	Norte_De_Menorca
mul_bal_006	Llevant_de_Mallorca_
mul_bal_010	Norte_De_Menorca
mul_bal_011	Llevant_de_Mallorca_
mul_bal_015	Llevant_de_Mallorca_
mul_bal_019	Llevant_de_Mallorca_
mul_bal_021	Llevant_de_Mallorca_
mul_bal_025	Llevant_de_Mallorca_
mul_bal_033	Llevant_de_Mallorca_
mul_bal_042	Llevant_de_Mallorca_
mul_bal_045	Llevant_de_Mallorca_
mul_bal_046	Llevant_de_Mallorca_
mul_bal_050	Llevant_de_Mallorca_
mul_bal_053	Llevant_de_Mallorca_
mul_bal_057	Llevant_de_Mallorca_
mul_bal_059	Llevant_de_Mallorca_
mul_bal_061	Llevant_de_Mallorca_
mul_bal_066	Llevant_de_Mallorca_
mul_bal_067	Llevant_de_Mallorca_
mul_bal_069	Llevant_de_Mallorca_
mul_bal_074	Llevant_de_Mallorca_
mul_bal_075	Llevant_de_Mallorca_
mul_bal_078	Norte_De_Menorca
mul_bal_081	Llevant_de_Mallorca_
mul_bal_084	Llevant_de_Mallorca_
mul_bal_087	Llevant_de_Mallorca_
mul_bal_088	Llevant_de_Mallorca_
mul_bal_091	Llevant_de_Mallorca_
mul_bal_096	Llevant_de_Mallorca_
mul_bal_097	Llevant_de_Mallorca_
mul_bal_101	Llevant_de_Mallorca_
mul_bal_103	Norte_De_Menorca
mul_bal_106	Llevant_de_Mallorca_
mul_bal_107	Llevant_de_Mallorca_
mul_bal_108	Llevant_de_Mallorca_
mul_bal_109	Llevant_de_Mallorca_
mul_bal_110	Llevant_de_Mallorca_
mul_bal_111	Llevant_de_Mallorca_
mul_bal_112	Llevant_de_Mallorca_
mul_bal_113	Llevant_de_Mallorca_
mul_bal_114	Llevant_de_Mallorca_
mul_bal_115	Llevant_de_Mallorca_
mul_bal_116	Llevant_de_Mallorca_
mul_bal_117	Llevant_de_Mallorca_
mul_bal_118	Llevant_de_Mallorca_
mul_bal_119	Llevant_de_Mallorca_
mul_bal_120	Llevant_de_Mallorca_
mul_bal_121	Llevant_de_Mallorca_
mul_bal_122	Llevant_de_Mallorca_
mul_bal_123	Llevant_de_Mallorca_
mul_bal_124	Llevant_de_Mallorca_
mul_bal_125	Llevant_de_Mallorca_
mul_bal_126	Norte_De_Menorca
mul_bal_127	Norte_De_Menorca
mul_bal_128	Norte_De_Menorca
mul_bal_129	Norte_De_Menorca
mul_bal_130	Llevant_de_Mallorca_
mul_bal_131	Llevant_de_Mallorca_
mul_fra_021	Cerbere-Banyuls
