RDA1 RDA2
dip_bal_001 2.75944110470989 3.31750588834935
dip_bal_002 2.36541383331279 1.22831680118912
dip_bal_003 2.62610414362928 1.87801421040282
dip_bal_004 2.55199037266388 2.00376965011132
dip_bal_005 2.26746793496559 0.798404288363677
dip_bal_006 2.67741344446602 2.00906716713561
dip_bal_007 1.73696409845273 1.61186663572222
dip_bal_009 2.72295309361858 1.72288083548874
dip_bal_010 2.20342287393076 1.56715461110442
dip_bal_011 2.76469865570267 1.25549619993868
dip_bal_012 2.7550006316966 1.49235759789409
dip_bal_013 1.90393959917348 0.88258311171213
dip_bal_014 2.32178157616969 1.8647181080724
dip_bal_015 2.65674815951169 1.06989244356172
dip_bal_016 2.35653154755163 1.85851897502187
dip_bal_017 2.76674688633637 1.85982693500913
dip_bal_018 2.36980011695223 2.15436381157953
dip_bal_019 2.57474838738308 0.941881652175112
dip_bal_020 2.23196837372825 2.48353344476893
dip_bal_021 1.74372554333048 1.91194624814827
dip_bal_022 2.54917408185701 1.57301946777788
dip_bal_023 2.92978690333932 1.35977697394792
dip_bal_024 1.71848040170248 1.58327786259871
dip_bal_025 2.00060512080291 2.34735252137424
dip_bal_026 3.76473234460864 1.03429248024428
dip_bal_027 3.00338240579564 1.67894577865391
dip_bal_028 2.24791627122166 1.70385942929433
dip_bal_029 2.53708178102744 2.35529575841438
dip_bal_030 2.90442523877019 1.26146624527916
dip_bal_031 2.56705761138512 1.74327994861694
dip_bal_037 3.64163990725503 4.11645975166654
dip_bal_045 2.70643917362581 3.66207656253401
dip_bal_048 3.31241816073562 4.37778381140971
dip_bal_053 2.57606080017527 3.65077203011871
dip_bal_054 4.70124579345205 3.527595133889
dip_bal_056 3.29738060393973 4.71677078619794
dip_bal_060 3.06077036319706 3.55396857587712
dip_bal_061 2.27811829094062 3.79180420376381
dip_bal_062 2.69023522588265 4.01883482588326
dip_bal_063 2.68026974218353 5.16633488249407
dip_bal_065 2.8813642619224 4.10234356181804
dip_bal_067 3.32092167280324 2.91416677328041
